,date,value
539,2017-11-21,1283.3
540,2017-11-20,1286.2
541,2017-11-17,1284.35
542,2017-11-16,1280.0
543,2017-11-15,1282.2
544,2017-11-14,1274.6
545,2017-11-13,1277.95
546,2017-11-10,1284.3
547,2017-11-09,1284.8
548,2017-11-08,1284.0
549,2017-11-07,1275.6
550,2017-11-06,1270.9
551,2017-11-03,1267.2
552,2017-11-02,1279.2
553,2017-11-01,1277.05
554,2017-10-31,1270.15
555,2017-10-30,1272.0
556,2017-10-27,1266.45
557,2017-10-26,1273.75
558,2017-10-25,1275.0
559,2017-10-24,1276.45
560,2017-10-23,1274.9
561,2017-10-20,1281.2
562,2017-10-19,1286.4
563,2017-10-18,1280.2
564,2017-10-17,1284.75
565,2017-10-16,1303.3
566,2017-10-13,1299.6
567,2017-10-12,1290.25
568,2017-10-11,1289.25
569,2017-10-10,1291.4
570,2017-10-09,1278.75
571,2017-10-06,1261.8
572,2017-10-05,1274.5
573,2017-10-04,1274.25
574,2017-10-03,1271.25
575,2017-10-02,1273.7
576,2017-09-29,1283.1
577,2017-09-28,1283.35
578,2017-09-27,1282.55
579,2017-09-26,1300.05
580,2017-09-25,1293.3
581,2017-09-22,1294.8
582,2017-09-21,1292.1
583,2017-09-20,1311.3
584,2017-09-19,1309.6
585,2017-09-18,1312.1
586,2017-09-15,1322.85
587,2017-09-14,1324.55
588,2017-09-13,1327.55
589,2017-09-12,1326.5
590,2017-09-11,1334.2
591,2017-09-08,1346.25
592,2017-09-07,1343.5
593,2017-09-06,1337.85
594,2017-09-05,1335.55
595,2017-09-04,1333.1
596,2017-09-01,1320.4
597,2017-08-31,1311.75
598,2017-08-30,1308.5
599,2017-08-29,1318.65
600,2017-08-25,1285.3
601,2017-08-24,1289.0
602,2017-08-23,1286.65
603,2017-08-22,1284.2
604,2017-08-21,1292.9
605,2017-08-18,1295.8
606,2017-08-17,1285.15
607,2017-08-16,1272.75
608,2017-08-15,1270.3
609,2017-08-14,1282.3
610,2017-08-11,1286.1
611,2017-08-10,1284.4
612,2017-08-09,1271.05
613,2017-08-08,1261.8
614,2017-08-07,1258.0
615,2017-08-04,1257.7
616,2017-08-03,1268.1
617,2017-08-02,1269.6
618,2017-08-01,1270.95
619,2017-07-31,1267.55
620,2017-07-28,1264.9
621,2017-07-27,1261.1
622,2017-07-26,1248.1
623,2017-07-25,1254.4
624,2017-07-24,1255.55
625,2017-07-21,1248.55
626,2017-07-20,1238.7
627,2017-07-19,1242.15
628,2017-07-18,1240.75
629,2017-07-17,1234.1
630,2017-07-14,1230.3
631,2017-07-13,1218.9
632,2017-07-12,1218.8
633,2017-07-11,1211.05
634,2017-07-10,1211.9
635,2017-07-07,1215.65
636,2017-07-06,1224.9
637,2017-07-05,1220.3
638,2017-07-04,1223.75
639,2017-07-03,1229.25
640,2017-06-30,1242.25
641,2017-06-29,1243.5
642,2017-06-28,1248.0
643,2017-06-27,1249.55
644,2017-06-26,1245.25
645,2017-06-23,1255.7
646,2017-06-22,1250.8
647,2017-06-21,1242.5
648,2017-06-20,1242.2
649,2017-06-19,1248.15
650,2017-06-16,1255.4
651,2017-06-15,1254.55
652,2017-06-14,1275.5
653,2017-06-13,1262.0
654,2017-06-12,1266.4
655,2017-06-09,1266.55
656,2017-06-08,1273.1
657,2017-06-07,1291.0
658,2017-06-06,1293.5
659,2017-06-05,1279.95
660,2017-06-02,1274.95
661,2017-06-01,1264.85
662,2017-05-31,1266.2
663,2017-05-30,1262.7
664,2017-05-26,1265.05
665,2017-05-25,1256.95
666,2017-05-24,1252.55
667,2017-05-23,1260.2
668,2017-05-22,1258.85
669,2017-05-19,1252.0
670,2017-05-18,1255.9
671,2017-05-17,1257.4
672,2017-05-16,1234.2
673,2017-05-15,1233.3
674,2017-05-12,1231.25
675,2017-05-11,1223.15
676,2017-05-10,1222.95
677,2017-05-09,1220.4
678,2017-05-08,1229.8
679,2017-05-05,1228.05
680,2017-05-04,1228.45
681,2017-05-03,1250.3
682,2017-05-02,1255.45
683,2017-04-28,1266.45
684,2017-04-27,1262.8
685,2017-04-26,1261.85
686,2017-04-25,1267.8
687,2017-04-24,1269.4
688,2017-04-21,1281.85
689,2017-04-20,1282.1
690,2017-04-19,1279.05
691,2017-04-18,1278.95
692,2017-04-13,1284.15
693,2017-04-12,1274.3
694,2017-04-11,1252.9
695,2017-04-10,1250.05
696,2017-04-07,1266.45
697,2017-04-06,1252.5
698,2017-04-05,1245.8
699,2017-04-04,1257.65
700,2017-04-03,1247.25
701,2017-03-31,1244.85
702,2017-03-30,1248.8
703,2017-03-29,1251.1
704,2017-03-28,1257.25
705,2017-03-27,1257.55
706,2017-03-24,1247.5
707,2017-03-23,1247.5
708,2017-03-22,1249.05
709,2017-03-21,1241.6
710,2017-03-20,1232.4
711,2017-03-17,1229.6
712,2017-03-16,1229.35
713,2017-03-15,1198.8
714,2017-03-14,1204.6
715,2017-03-13,1204.2
716,2017-03-10,1202.65
717,2017-03-09,1206.55
718,2017-03-08,1209.2
719,2017-03-07,1216.65
720,2017-03-06,1230.95
721,2017-03-03,1226.5
722,2017-03-02,1238.1
723,2017-03-01,1240.4
724,2017-02-28,1255.6
725,2017-02-27,1257.2
726,2017-02-24,1253.65
727,2017-02-23,1247.9
728,2017-02-22,1236.65
729,2017-02-21,1233.2
730,2017-02-20,1237.3
731,2017-02-17,1241.95
732,2017-02-16,1240.55
733,2017-02-15,1224.4
734,2017-02-14,1230.75
735,2017-02-13,1222.25
736,2017-02-10,1228.3
737,2017-02-09,1236.8
738,2017-02-08,1242.1
739,2017-02-07,1231.0
740,2017-02-06,1226.75
741,2017-02-03,1215.2
742,2017-02-02,1221.95
743,2017-02-01,1203.65
744,2017-01-31,1212.8
745,2017-01-30,1192.8
746,2017-01-27,1184.85
747,2017-01-26,1189.7
748,2017-01-25,1195.0
749,2017-01-24,1216.8
750,2017-01-23,1212.85
751,2017-01-20,1200.55
752,2017-01-19,1196.05
753,2017-01-18,1214.75
754,2017-01-17,1216.05
755,2017-01-16,1203.0
756,2017-01-13,1190.35
757,2017-01-12,1205.05
758,2017-01-11,1178.55
759,2017-01-10,1189.5
760,2017-01-09,1178.5
761,2017-01-06,1175.85
762,2017-01-05,1176.7
763,2017-01-04,1164.25
764,2017-01-03,1151.0
765,2016-12-30,
766,2016-12-29,1145.9
767,2016-12-28,1134.6
768,2016-12-23,
769,2016-12-22,1131.35
770,2016-12-21,1133.65
771,2016-12-20,1125.7
772,2016-12-19,1136.25
773,2016-12-16,1131.6
774,2016-12-15,1126.95
775,2016-12-14,1162.25
776,2016-12-13,1158.55
777,2016-12-12,1156.1
778,2016-12-09,1163.6
779,2016-12-08,1171.05
780,2016-12-07,1177.65
781,2016-12-06,1172.5
782,2016-12-05,1162.2
783,2016-12-02,1173.5
784,2016-12-01,1161.85
785,2016-11-30,1178.1
786,2016-11-29,1186.55
787,2016-11-28,1187.0
788,2016-11-25,1187.7
789,2016-11-24,1186.1
790,2016-11-23,1185.35
791,2016-11-22,1212.25
792,2016-11-21,1214.25
793,2016-11-18,1211.0
794,2016-11-17,1226.75
795,2016-11-16,1229.2
796,2016-11-15,1226.95
797,2016-11-14,1213.6
798,2016-11-11,1236.45
799,2016-11-10,1267.5
800,2016-11-09,1281.4
801,2016-11-08,1282.35
802,2016-11-07,1283.05
803,2016-11-04,1302.8
804,2016-11-03,1301.0
805,2016-11-02,1303.75
806,2016-11-01,1288.45
807,2016-10-31,1272.0
808,2016-10-28,1273.0
809,2016-10-27,1266.25
810,2016-10-26,1270.5
811,2016-10-25,1269.4
812,2016-10-24,1265.55
813,2016-10-21,1266.05
814,2016-10-20,1271.65
815,2016-10-19,1269.05
816,2016-10-18,1258.2
817,2016-10-17,1254.8
818,2016-10-14,1251.75
819,2016-10-13,1261.05
820,2016-10-12,1256.5
821,2016-10-11,1253.45
